"Case.Earliest.Date","Confirmation.Status","Gender","Age.Group","Hospitalization","ICU","Death","Race","Count"
"2020/02/10","Laboratory-confirmed case","Male","0 - 9","No","No","No","Caucasian",1
"2020/02/10","Laboratory-confirmed case","Male","10 - 19","Missing","Missing","Missing","Unknown",1
"2020/02/10","Laboratory-confirmed case","Male","20 - 29","No","Missing","No","African American",1
"2020/02/10","Laboratory-confirmed case","Male","20 - 29","No","No","Unknown","Latino",1
"2020/02/10","Laboratory-confirmed case","Male","20 - 29","Yes","Unknown","Unknown","Unknown",2
"2020/02/10","Laboratory-confirmed case","Male","30 - 39","Yes","No","Missing","African American",1
"2020/02/10","Laboratory-confirmed case","Male","30 - 39","Yes","Unknown","Unknown","Unknown",1
"2020/02/10","Laboratory-confirmed case","Male","40 - 49","No","No","Unknown","Unknown",1
"2020/02/10","Laboratory-confirmed case","Male","40 - 49","No","Unknown","Unknown","African American",1
"2020/02/10","Laboratory-confirmed case","Male","40 - 49","Yes","Unknown","No","Caucasian",1
"2020/02/10","Laboratory-confirmed case","Male","50 - 59","No","Missing","No","African American",2
"2020/02/10","Laboratory-confirmed case","Male","50 - 59","No","Missing","No","Latino",1
"2020/02/10","Laboratory-confirmed case","Male","50 - 59","No","Missing","No","Unknown",1
"2020/02/10","Laboratory-confirmed case","Male","50 - 59","No","No","No","Caucasian",1
"2020/02/10","Laboratory-confirmed case","Male","50 - 59","Yes","Unknown","Unknown","Unknown",2
"2020/02/10","Laboratory-confirmed case","Male","50 - 59","Yes","Unknown","Unknown","Caucasian",1
"2020/02/10","Laboratory-confirmed case","Male","60 - 69","No","Missing","Missing","African American",1
"2020/02/10","Laboratory-confirmed case","Male","60 - 69","No","Missing","No","Multiracial/Other",1
"2020/02/10","Laboratory-confirmed case","Male","60 - 69","Yes","Missing","No","Latino",1
"2020/02/10","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","Unknown","African American",1
"2020/02/10","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","Unknown","Unknown",1
"2020/02/10","Laboratory-confirmed case","Male","60 - 69","Yes","Yes","Missing","Unknown",1
"2020/02/10","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","Yes","Caucasian",1
"2020/02/10","Laboratory-confirmed case","Male","80+","Yes","Unknown","No","Caucasian",1
"2020/02/10","Laboratory-confirmed case","Male","80+","Yes","Unknown","Yes","Unknown",1
"2020/02/10","Laboratory-confirmed case","Male","80+","Yes","Unknown","Yes","Caucasian",1
"2020/02/10","Probable Case","Female","0 - 9","Missing","Missing","Missing","Latino",1
"2020/02/10","Probable Case","Female","20 - 29","No","Unknown","No","Asian",1
"2020/02/10","Probable Case","Female","30 - 39","No","No","No","Caucasian",1
"2020/02/10","Probable Case","Female","40 - 49","Missing","Missing","Missing","Unknown",1
"2020/02/10","Probable Case","Female","40 - 49","Missing","Missing","Missing","Caucasian",1
"2020/02/10","Probable Case","Female","40 - 49","No","No","No","Multiracial/Other",1
"2020/02/10","Probable Case","Female","40 - 49","No","Unknown","No","Caucasian",1
"2020/02/10","Probable Case","Female","50 - 59","No","Missing","No","Unknown",1
"2020/02/10","Probable Case","Female","50 - 59","No","Missing","No","Caucasian",1
"2020/02/10","Probable Case","Female","50 - 59","No","No","No","Caucasian",1
"2020/02/10","Probable Case","Female","50 - 59","No","Unknown","No","Unknown",1
"2020/02/10","Probable Case","Female","50 - 59","No","Unknown","No","Caucasian",1
"2020/02/10","Probable Case","Female","50 - 59","Unknown","Unknown","No","Caucasian",1
"2020/02/10","Probable Case","Female","60 - 69","No","Missing","No","Caucasian",1
"2020/02/10","Probable Case","Female","60 - 69","No","No","No","Caucasian",1
"2020/02/10","Probable Case","Female","60 - 69","Yes","Yes","Yes","Caucasian",1
"2020/02/10","Probable Case","Female","70 - 79","No","No","No","Caucasian",1
"2020/02/10","Probable Case","Female","70 - 79","No","Unknown","Unknown","Unknown",1
"2020/02/10","Probable Case","Female","70 - 79","No","Unknown","Unknown","Caucasian",1
"2020/02/10","Probable Case","Female","80+","Yes","Missing","Yes","Unknown",1
"2020/02/10","Probable Case","Male","10 - 19","No","Unknown","No","Multiracial/Other",1
"2020/02/10","Probable Case","Male","10 - 19","Unknown","Unknown","No","Caucasian",1
"2020/02/10","Probable Case","Male","20 - 29","No","No","No","Caucasian",1
"2020/02/10","Probable Case","Male","30 - 39","No","Unknown","No","Caucasian",3
"2020/02/10","Probable Case","Male","40 - 49","No","No","No","Caucasian",2
"2020/02/10","Probable Case","Male","40 - 49","No","Unknown","No","Caucasian",1
"2020/02/10","Probable Case","Male","50 - 59","Missing","Missing","Missing","Unknown",1
"2020/02/10","Probable Case","Male","50 - 59","No","Missing","No","Caucasian",1
"2020/02/10","Probable Case","Male","50 - 59","No","No","No","Caucasian",1
"2020/02/10","Probable Case","Male","50 - 59","Unknown","Unknown","No","Unknown",1
"2020/02/10","Probable Case","Male","60 - 69","Missing","Missing","No","Unknown",1
"2020/02/10","Probable Case","Male","60 - 69","No","Missing","Missing","Caucasian",1
"2020/02/10","Probable Case","Male","60 - 69","Yes","Unknown","Yes","Caucasian",2
"2020/02/10","Probable Case","Male","70 - 79","No","Missing","Missing","Caucasian",1
"2020/02/10","Probable Case","Male","70 - 79","No","Missing","No","Caucasian",1
"2020/02/10","Probable Case","Male","70 - 79","No","Unknown","No","Caucasian",1
"2020/02/10","Probable Case","Male","70 - 79","Unknown","Unknown","Unknown","Caucasian",1
"2020/02/10","Probable Case","Male","70 - 79","Yes","Unknown","Yes","Latino",1
"2020/02/10","Probable Case","Male","80+","No","No","No","Caucasian",1
"2020/02/10","Probable Case","Unknown","60 - 69","Missing","Missing","Missing","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","0 - 9","Missing","Missing","Missing","Unknown",1
"2020/02/11","Laboratory-confirmed case","Female","10 - 19","Missing","Missing","Missing","Unknown",1
"2020/02/11","Laboratory-confirmed case","Female","20 - 29","Missing","Missing","Missing","AIAN",2
"2020/02/11","Laboratory-confirmed case","Female","20 - 29","Missing","Missing","Missing","Unknown",1
"2020/02/11","Laboratory-confirmed case","Female","20 - 29","Missing","Missing","Missing","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","20 - 29","No","Missing","Missing","Multiracial/Other",1
"2020/02/11","Laboratory-confirmed case","Female","20 - 29","Yes","Unknown","Unknown","Latino",1
"2020/02/11","Laboratory-confirmed case","Female","20 - 29","Yes","Unknown","Unknown","Unknown",1
"2020/02/11","Laboratory-confirmed case","Female","30 - 39","Missing","Missing","Missing","Latino",1
"2020/02/11","Laboratory-confirmed case","Female","30 - 39","Missing","Missing","Missing","Unknown",2
"2020/02/11","Laboratory-confirmed case","Female","30 - 39","Missing","Missing","Missing","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","30 - 39","No","Missing","Missing","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","30 - 39","No","No","Unknown","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","30 - 39","Yes","Unknown","Unknown","African American",1
"2020/02/11","Laboratory-confirmed case","Female","30 - 39","Yes","Unknown","Unknown","Unknown",2
"2020/02/11","Laboratory-confirmed case","Female","40 - 49","Missing","Missing","Missing","Unknown",1
"2020/02/11","Laboratory-confirmed case","Female","40 - 49","Missing","Missing","Missing","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","40 - 49","No","Missing","No","Latino",1
"2020/02/11","Laboratory-confirmed case","Female","40 - 49","No","No","Unknown","African American",1
"2020/02/11","Laboratory-confirmed case","Female","40 - 49","Yes","Unknown","Unknown","Latino",1
"2020/02/11","Laboratory-confirmed case","Female","40 - 49","Yes","Unknown","Unknown","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","50 - 59","Missing","Missing","Missing","Latino",1
"2020/02/11","Laboratory-confirmed case","Female","50 - 59","Missing","Missing","Missing","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","50 - 59","No","Missing","Missing","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","50 - 59","Yes","No","Missing","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","50 - 59","Yes","Unknown","Unknown","African American",1
"2020/02/11","Laboratory-confirmed case","Female","50 - 59","Yes","Unknown","Unknown","Latino",1
"2020/02/11","Laboratory-confirmed case","Female","50 - 59","Yes","Unknown","Unknown","Unknown",5
"2020/02/11","Laboratory-confirmed case","Female","60 - 69","Missing","Missing","Missing","Unknown",1
"2020/02/11","Laboratory-confirmed case","Female","60 - 69","No","Missing","No","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","60 - 69","No","Missing","Unknown","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","60 - 69","No","No","No","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","60 - 69","No","Unknown","No","African American",1
"2020/02/11","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","Latino",1
"2020/02/11","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","Unknown",1
"2020/02/11","Laboratory-confirmed case","Female","70 - 79","Missing","Missing","Missing","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","70 - 79","No","Missing","No","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","70 - 79","No","No","No","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","70 - 79","Yes","Unknown","Unknown","African American",1
"2020/02/11","Laboratory-confirmed case","Female","80+","Yes","Unknown","Unknown","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","80+","Yes","Unknown","Yes","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Female","80+","Yes","Yes","Yes","Latino",1
"2020/02/11","Laboratory-confirmed case","Male","0 - 9","Missing","Missing","Missing","Asian",1
"2020/02/11","Laboratory-confirmed case","Male","0 - 9","Missing","Missing","Missing","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Male","10 - 19","Missing","Missing","Missing","Unknown",1
"2020/02/11","Laboratory-confirmed case","Male","10 - 19","Missing","Missing","Missing","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Male","20 - 29","Missing","Missing","Missing","AIAN",1
"2020/02/11","Laboratory-confirmed case","Male","20 - 29","No","Missing","No","Unknown",1
"2020/02/11","Laboratory-confirmed case","Male","30 - 39","Missing","Missing","Missing","Unknown",1
"2020/02/11","Laboratory-confirmed case","Male","30 - 39","Missing","Missing","Missing","Caucasian",5
"2020/02/11","Laboratory-confirmed case","Male","30 - 39","Yes","Missing","Yes","African American",1
"2020/02/11","Laboratory-confirmed case","Male","30 - 39","Yes","Unknown","Unknown","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Male","40 - 49","Missing","Missing","Missing","AIAN",1
"2020/02/11","Laboratory-confirmed case","Male","40 - 49","Missing","Missing","Missing","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Male","40 - 49","No","Missing","No","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Male","40 - 49","Yes","Yes","Unknown","Latino",1
"2020/02/11","Laboratory-confirmed case","Male","50 - 59","Missing","Missing","Missing","Unknown",4
"2020/02/11","Laboratory-confirmed case","Male","50 - 59","No","Unknown","No","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Male","50 - 59","Yes","Unknown","Unknown","Unknown",1
"2020/02/11","Laboratory-confirmed case","Male","50 - 59","Yes","Unknown","Yes","Multiracial/Other",1
"2020/02/11","Laboratory-confirmed case","Male","60 - 69","Missing","Missing","Missing","African American",1
"2020/02/11","Laboratory-confirmed case","Male","60 - 69","Missing","Missing","Missing","Unknown",2
"2020/02/11","Laboratory-confirmed case","Male","60 - 69","Missing","Missing","Missing","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Male","60 - 69","No","Missing","No","African American",1
"2020/02/11","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","Unknown","Multiracial/Other",1
"2020/02/11","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","Unknown","Unknown",2
"2020/02/11","Laboratory-confirmed case","Male","70 - 79","Missing","Missing","Missing","Caucasian",2
"2020/02/11","Laboratory-confirmed case","Male","70 - 79","No","Unknown","Unknown","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Male","70 - 79","Yes","Missing","Missing","Caucasian",2
"2020/02/11","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","Unknown","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","Yes","African American",2
"2020/02/11","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","Yes","Unknown",1
"2020/02/11","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","Yes","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Male","80+","Missing","Missing","Missing","Asian",1
"2020/02/11","Laboratory-confirmed case","Male","80+","Missing","Missing","Missing","Caucasian",2
"2020/02/11","Laboratory-confirmed case","Male","80+","Yes","No","Yes","Caucasian",1
"2020/02/11","Laboratory-confirmed case","Male","80+","Yes","Unknown","Unknown","Multiracial/Other",1
"2020/02/11","Laboratory-confirmed case","Male","80+","Yes","Unknown","Unknown","Caucasian",1
"2020/02/11","Probable Case","Female","10 - 19","No","No","Unknown","Caucasian",1
"2020/02/11","Probable Case","Female","20 - 29","No","Unknown","No","Caucasian",1
"2020/02/11","Probable Case","Female","40 - 49","No","Missing","No","Caucasian",2
"2020/02/11","Probable Case","Female","40 - 49","No","Unknown","Unknown","Caucasian",1
"2020/02/11","Probable Case","Female","50 - 59","No","Unknown","Unknown","Unknown",1
"2020/02/11","Probable Case","Female","60 - 69","No","Missing","No","Caucasian",2
"2020/02/11","Probable Case","Female","60 - 69","No","Unknown","No","Caucasian",1
"2020/02/11","Probable Case","Female","60 - 69","No","Unknown","Unknown","Caucasian",1
"2020/02/11","Probable Case","Female","70 - 79","Missing","Missing","Missing","Unknown",1
"2020/02/11","Probable Case","Female","70 - 79","No","No","No","Caucasian",1
"2020/02/11","Probable Case","Female","80+","Yes","Unknown","Yes","African American",1
"2020/02/11","Probable Case","Female","80+","Yes","Unknown","Yes","Caucasian",1
"2020/02/11","Probable Case","Male","20 - 29","No","Unknown","No","Multiracial/Other",1
"2020/02/11","Probable Case","Male","80+","Yes","Unknown","Yes","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Female","10 - 19","No","Unknown","Unknown","African American",1
"2020/02/12","Laboratory-confirmed case","Female","30 - 39","Missing","Missing","No","African American",1
"2020/02/12","Laboratory-confirmed case","Female","30 - 39","No","Missing","No","Latino",1
"2020/02/12","Laboratory-confirmed case","Female","30 - 39","Yes","Unknown","Unknown","African American",1
"2020/02/12","Laboratory-confirmed case","Female","30 - 39","Yes","Unknown","Unknown","Unknown",1
"2020/02/12","Laboratory-confirmed case","Female","30 - 39","Yes","Unknown","Unknown","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Female","40 - 49","Missing","Missing","Missing","Latino",1
"2020/02/12","Laboratory-confirmed case","Female","40 - 49","No","Missing","No","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Female","40 - 49","No","Unknown","Unknown","Latino",1
"2020/02/12","Laboratory-confirmed case","Female","40 - 49","Yes","Unknown","Unknown","Latino",1
"2020/02/12","Laboratory-confirmed case","Female","50 - 59","No","Missing","Missing","Multiracial/Other",1
"2020/02/12","Laboratory-confirmed case","Female","50 - 59","No","Missing","No","Latino",1
"2020/02/12","Laboratory-confirmed case","Female","50 - 59","No","Missing","No","Unknown",1
"2020/02/12","Laboratory-confirmed case","Female","50 - 59","No","Missing","No","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Female","50 - 59","Yes","Unknown","Unknown","Latino",2
"2020/02/12","Laboratory-confirmed case","Female","50 - 59","Yes","Yes","Unknown","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Female","50 - 59","Yes","Yes","Yes","African American",1
"2020/02/12","Laboratory-confirmed case","Female","50 - 59","Yes","Yes","Yes","Latino",1
"2020/02/12","Laboratory-confirmed case","Female","60 - 69","Missing","Missing","Missing","Latino",1
"2020/02/12","Laboratory-confirmed case","Female","60 - 69","No","Missing","No","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Female","60 - 69","No","Unknown","No","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Female","60 - 69","No","Unknown","Unknown","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","African American",1
"2020/02/12","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","Unknown",1
"2020/02/12","Laboratory-confirmed case","Female","70 - 79","Missing","Missing","Missing","Unknown",1
"2020/02/12","Laboratory-confirmed case","Female","70 - 79","No","Missing","No","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Female","70 - 79","Yes","Unknown","Unknown","Unknown",3
"2020/02/12","Laboratory-confirmed case","Female","80+","Yes","Missing","No","Unknown",1
"2020/02/12","Laboratory-confirmed case","Female","80+","Yes","Unknown","No","African American",1
"2020/02/12","Laboratory-confirmed case","Male","0 - 9","Yes","Yes","Unknown","Latino",1
"2020/02/12","Laboratory-confirmed case","Male","20 - 29","Unknown","Unknown","Unknown","African American",1
"2020/02/12","Laboratory-confirmed case","Male","30 - 39","No","No","No","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Male","30 - 39","Yes","Unknown","Unknown","Unknown",2
"2020/02/12","Laboratory-confirmed case","Male","30 - 39","Yes","Unknown","Unknown","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Male","40 - 49","Missing","Missing","Missing","Latino",1
"2020/02/12","Laboratory-confirmed case","Male","40 - 49","Missing","Missing","Missing","Unknown",1
"2020/02/12","Laboratory-confirmed case","Male","40 - 49","No","Missing","Missing","Latino",1
"2020/02/12","Laboratory-confirmed case","Male","40 - 49","No","Missing","No","Latino",1
"2020/02/12","Laboratory-confirmed case","Male","40 - 49","Unknown","Missing","No","Unknown",2
"2020/02/12","Laboratory-confirmed case","Male","40 - 49","Unknown","Unknown","No","Latino",1
"2020/02/12","Laboratory-confirmed case","Male","40 - 49","Yes","Yes","Unknown","Latino",1
"2020/02/12","Laboratory-confirmed case","Male","50 - 59","Missing","Missing","Missing","Unknown",1
"2020/02/12","Laboratory-confirmed case","Male","50 - 59","Missing","Missing","Missing","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Male","50 - 59","Yes","Missing","Missing","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Male","50 - 59","Yes","Unknown","Unknown","Unknown",2
"2020/02/12","Laboratory-confirmed case","Male","50 - 59","Yes","Unknown","Unknown","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Male","50 - 59","Yes","Unknown","Yes","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Male","60 - 69","No","Missing","No","Caucasian",2
"2020/02/12","Laboratory-confirmed case","Male","60 - 69","No","Missing","Yes","Asian",1
"2020/02/12","Laboratory-confirmed case","Male","60 - 69","No","Unknown","Unknown","Unknown",1
"2020/02/12","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","No","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","Unknown","Latino",1
"2020/02/12","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","Unknown","Unknown",1
"2020/02/12","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","Yes","Asian",1
"2020/02/12","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","Yes","Latino",2
"2020/02/12","Laboratory-confirmed case","Male","60 - 69","Yes","Yes","Yes","Unknown",1
"2020/02/12","Laboratory-confirmed case","Male","70 - 79","No","Missing","No","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Male","70 - 79","Yes","No","No","Multiracial/Other",1
"2020/02/12","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","No","Missing",1
"2020/02/12","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","Unknown","Latino",1
"2020/02/12","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","Unknown","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Male","80+","Yes","No","Unknown","Caucasian",1
"2020/02/12","Laboratory-confirmed case","Male","80+","Yes","Unknown","Yes","African American",1
"2020/02/12","Probable Case","Female","10 - 19","No","Unknown","Unknown","Unknown",1
"2020/02/12","Probable Case","Female","20 - 29","No","No","No","Unknown",1
"2020/02/12","Probable Case","Female","30 - 39","No","Missing","No","Asian",1
"2020/02/12","Probable Case","Female","30 - 39","Unknown","Missing","Unknown","Caucasian",1
"2020/02/12","Probable Case","Female","40 - 49","No","Unknown","No","Multiracial/Other",1
"2020/02/12","Probable Case","Female","50 - 59","No","No","No","Caucasian",1
"2020/02/12","Probable Case","Female","60 - 69","Yes","Unknown","Yes","African American",1
"2020/02/12","Probable Case","Female","70 - 79","Missing","Missing","Missing","Multiracial/Other",1
"2020/02/12","Probable Case","Male","20 - 29","No","Missing","No","Latino",1
"2020/02/12","Probable Case","Male","40 - 49","Missing","Missing","Missing","Caucasian",1
"2020/02/12","Probable Case","Male","40 - 49","Unknown","Unknown","Unknown","Unknown",1
"2020/02/12","Probable Case","Male","50 - 59","No","Missing","Unknown","Caucasian",1
"2020/02/12","Probable Case","Male","50 - 59","Unknown","Unknown","Unknown","Caucasian",1
"2020/02/12","Probable Case","Male","50 - 59","Yes","Unknown","Yes","Multiracial/Other",1
"2020/02/12","Probable Case","Male","60 - 69","Unknown","No","No","Caucasian",1
"2020/02/13","Laboratory-confirmed case","Female","10 - 19","Yes","Unknown","Unknown","Unknown",1
"2020/02/13","Laboratory-confirmed case","Female","20 - 29","No","No","No","Unknown",1
"2020/02/13","Laboratory-confirmed case","Female","30 - 39","Missing","Missing","Missing","Latino",1
"2020/02/13","Laboratory-confirmed case","Female","30 - 39","Yes","Unknown","Unknown","Asian",1
"2020/02/13","Laboratory-confirmed case","Female","30 - 39","Yes","Unknown","Unknown","Unknown",3
"2020/02/13","Laboratory-confirmed case","Female","40 - 49","Yes","Unknown","Unknown","Unknown",2
"2020/02/13","Laboratory-confirmed case","Female","50 - 59","No","No","Missing","Latino",1
"2020/02/13","Laboratory-confirmed case","Female","50 - 59","No","No","Unknown","African American",1
"2020/02/13","Laboratory-confirmed case","Female","50 - 59","No","Unknown","Unknown","Latino",1
"2020/02/13","Laboratory-confirmed case","Female","50 - 59","Yes","Unknown","No","Multiracial/Other",1
"2020/02/13","Laboratory-confirmed case","Female","50 - 59","Yes","Unknown","Unknown","African American",1
"2020/02/13","Laboratory-confirmed case","Female","50 - 59","Yes","Unknown","Unknown","Unknown",2
"2020/02/13","Laboratory-confirmed case","Female","60 - 69","Yes","Missing","No","Caucasian",1
"2020/02/13","Laboratory-confirmed case","Female","60 - 69","Yes","No","Missing","Caucasian",1
"2020/02/13","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","Unknown",2
"2020/02/13","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","Caucasian",2
"2020/02/13","Laboratory-confirmed case","Female","60 - 69","Yes","Yes","Unknown","Caucasian",1
"2020/02/13","Laboratory-confirmed case","Female","70 - 79","No","Missing","No","Caucasian",1
"2020/02/13","Laboratory-confirmed case","Female","70 - 79","No","No","Missing","Caucasian",1
"2020/02/13","Laboratory-confirmed case","Female","70 - 79","No","No","No","Missing",1
"2020/02/13","Laboratory-confirmed case","Female","70 - 79","No","No","Unknown","Caucasian",1
"2020/02/13","Laboratory-confirmed case","Female","70 - 79","Yes","Missing","Yes","African American",1
"2020/02/13","Laboratory-confirmed case","Female","70 - 79","Yes","No","No","Missing",1
"2020/02/13","Laboratory-confirmed case","Female","70 - 79","Yes","Unknown","Yes","Asian",1
"2020/02/13","Laboratory-confirmed case","Female","70 - 79","Yes","Unknown","Yes","Latino",1
"2020/02/13","Laboratory-confirmed case","Female","80+","Yes","Unknown","Unknown","Multiracial/Other",1
"2020/02/13","Laboratory-confirmed case","Female","80+","Yes","Yes","Yes","African American",1
"2020/02/13","Laboratory-confirmed case","Male","0 - 9","No","Missing","Missing","African American",1
"2020/02/13","Laboratory-confirmed case","Male","0 - 9","Unknown","Unknown","Unknown","Multiracial/Other",1
"2020/02/13","Laboratory-confirmed case","Male","20 - 29","Unknown","Missing","No","Unknown",1
"2020/02/13","Laboratory-confirmed case","Male","40 - 49","No","Missing","Missing","AIAN",1
"2020/02/13","Laboratory-confirmed case","Male","40 - 49","No","Missing","No","Caucasian",1
"2020/02/13","Laboratory-confirmed case","Male","40 - 49","Yes","Unknown","Yes","Caucasian",1
"2020/02/13","Laboratory-confirmed case","Male","50 - 59","No","Missing","No","Caucasian",1
"2020/02/13","Laboratory-confirmed case","Male","50 - 59","No","No","No","Caucasian",1
"2020/02/13","Laboratory-confirmed case","Male","50 - 59","No","Unknown","No","Caucasian",1
"2020/02/13","Laboratory-confirmed case","Male","50 - 59","Yes","Unknown","Unknown","African American",1
"2020/02/13","Laboratory-confirmed case","Male","60 - 69","No","Missing","No","Latino",1
"2020/02/13","Laboratory-confirmed case","Male","60 - 69","Yes","Missing","Missing","Latino",1
"2020/02/13","Laboratory-confirmed case","Male","60 - 69","Yes","Missing","No","Caucasian",1
"2020/02/13","Laboratory-confirmed case","Male","60 - 69","Yes","Missing","Yes","Caucasian",1
"2020/02/13","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","No","Unknown",1
"2020/02/13","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","Unknown","African American",1
"2020/02/13","Laboratory-confirmed case","Male","60 - 69","Yes","Unknown","Unknown","Caucasian",2
"2020/02/13","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","Unknown","African American",1
"2020/02/13","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","Unknown","Unknown",1
"2020/02/13","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","Unknown","Caucasian",2
"2020/02/13","Laboratory-confirmed case","Male","70 - 79","Yes","Unknown","Yes","African American",1
"2020/02/13","Laboratory-confirmed case","Male","80+","Yes","Yes","Yes","Latino",1
"2020/02/13","Probable Case","Female","40 - 49","No","Missing","No","Caucasian",1
"2020/02/13","Probable Case","Female","50 - 59","No","Missing","No","Unknown",1
"2020/02/13","Probable Case","Female","60 - 69","No","Missing","No","African American",1
"2020/02/13","Probable Case","Female","60 - 69","No","No","No","Caucasian",1
"2020/02/13","Probable Case","Male","10 - 19","No","No","No","Caucasian",1
"2020/02/13","Probable Case","Male","30 - 39","No","Unknown","Unknown","Caucasian",1
"2020/02/13","Probable Case","Male","40 - 49","Missing","Missing","Missing","Unknown",1
"2020/02/13","Probable Case","Male","50 - 59","Yes","Unknown","No","Caucasian",1
"2020/02/13","Probable Case","Male","60 - 69","Missing","Missing","Missing","Unknown",1
"2020/02/13","Probable Case","Male","60 - 69","No","Unknown","No","Unknown",1
"2020/02/13","Probable Case","Male","70 - 79","Yes","Unknown","Yes","Caucasian",1
"2020/02/13","Probable Case","Male","80+","Missing","Missing","Missing","Unknown",1
"2020/02/14","Laboratory-confirmed case","Female","0 - 9","Yes","Missing","No","Caucasian",1
"2020/02/14","Laboratory-confirmed case","Female","20 - 29","No","Missing","No","African American",1
"2020/02/14","Laboratory-confirmed case","Female","20 - 29","No","Missing","No","Unknown",1
"2020/02/14","Laboratory-confirmed case","Female","20 - 29","Yes","Unknown","Unknown","Unknown",1
"2020/02/14","Laboratory-confirmed case","Female","30 - 39","Missing","Missing","No","Missing",1
"2020/02/14","Laboratory-confirmed case","Female","30 - 39","No","Missing","No","Latino",1
"2020/02/14","Laboratory-confirmed case","Female","30 - 39","No","Unknown","No","Latino",1
"2020/02/14","Laboratory-confirmed case","Female","30 - 39","No","Unknown","No","Unknown",1
"2020/02/14","Laboratory-confirmed case","Female","30 - 39","No","Unknown","Unknown","Caucasian",1
